gender;star1;star2;star3;read1;read2;math1;math2;school1;school2;school3;experience1;experience2;experience3;EndScore
male;small;small;small;495;575;526;557;suburban;suburban;suburban;19;17;17;629
female;regular;regular;NA;480;555;507;596;inner-city;inner-city;NA;3;4;NA;NA
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;9;638
male;regular+aide;regular+aide;regular+aide;524;579;557;574;suburban;suburban;suburban;1;22;15;610
female;regular+aide;NA;NA;468;NA;505;NA;suburban;NA;NA;6;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;regular;NA;NA;NA;NA;NA;suburban;suburban;NA;13;26;613
male;regular+aide;small;small;571;669;567;639;rural;rural;rural;10;6;2;646
female;small;small;small;457;523;488;507;rural;rural;rural;11;18;10;NA
male;NA;small;small;NA;631;NA;552;NA;urban;urban;NA;16;9;552
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;30;NA
male;small;small;regular+aide;501;555;553;596;rural;rural;rural;8;9;5;626
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;19;652
male;regular+aide;NA;NA;442;NA;468;NA;inner-city;NA;NA;24;NA;NA;NA
male;regular;regular;regular;558;582;567;535;suburban;suburban;suburban;0;8;22;622
male;small;regular+aide;regular;524;584;512;525;inner-city;inner-city;inner-city;6;11;20;587
female;regular+aide;regular+aide;NA;540;591;529;587;rural;suburban;NA;15;12;NA;NA
male;regular;regular;regular;629;650;562;593;suburban;suburban;suburban;0;8;22;656
male;small;small;NA;487;622;495;545;rural;rural;NA;15;11;NA;NA
female;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;29;NA;NA;NA
male;small;small;small;468;564;502;559;rural;rural;rural;11;14;10;603
male;regular;regular;regular;499;608;542;572;rural;rural;rural;0;20;28;601
female;small;NA;NA;488;NA;562;NA;suburban;NA;NA;23;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;629;618;562;620;rural;rural;rural;9;5;3;617
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;13;571
female;regular;regular;regular;490;527;512;533;rural;rural;rural;1;12;3;577
female;NA;regular+aide;regular+aide;NA;539;NA;565;NA;inner-city;inner-city;NA;25;25;566
female;small;small;small;488;559;538;543;inner-city;inner-city;inner-city;38;10;29;603
male;small;small;small;558;627;557;596;rural;rural;rural;14;6;2;633
male;NA;NA;small;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;2;NA
male;regular;regular;regular;629;709;612;674;rural;rural;rural;8;10;13;676
male;small;small;small;558;582;542;572;rural;rural;rural;26;9;23;574
male;NA;regular;NA;NA;514;NA;517;NA;inner-city;NA;NA;10;NA;NA
female;regular+aide;regular+aide;regular+aide;463;514;505;495;suburban;suburban;suburban;2;7;17;558
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular;regular;519;611;535;565;suburban;suburban;suburban;2;3;14;585
female;regular;regular;regular;579;631;572;584;urban;urban;rural;11;15;15;643
female;small;NA;NA;519;NA;488;NA;inner-city;NA;NA;3;NA;NA;NA
male;regular;regular;regular;472;532;NA;517;suburban;suburban;suburban;4;4;7;558
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;small;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;29;646
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;small;604;669;553;563;rural;rural;rural;8;18;12;635
female;regular;regular;regular;459;523;512;520;inner-city;inner-city;inner-city;5;9;2;582
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;NA;regular+aide;548;NA;549;NA;suburban;NA;suburban;32;NA;28;555
male;regular+aide;regular+aide;regular+aide;604;659;592;721;rural;rural;rural;39;9;16;751
male;regular;NA;NA;439;NA;465;NA;inner-city;NA;NA;3;NA;NA;NA
female;NA;regular+aide;regular+aide;NA;NA;NA;NA;NA;rural;rural;NA;11;16;645
male;small;small;regular;629;571;549;570;suburban;suburban;suburban;32;7;19;622
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;7;582
female;regular;regular;regular;536;559;529;556;rural;rural;rural;0;6;8;604
male;regular+aide;regular+aide;regular+aide;564;637;545;590;rural;rural;rural;20;11;13;638
male;small;small;NA;426;544;479;528;inner-city;inner-city;NA;6;14;NA;NA
male;small;small;small;509;643;578;632;rural;rural;rural;15;5;31;644
female;regular+aide;NA;NA;571;NA;592;NA;rural;NA;NA;16;NA;NA;NA
male;regular;regular;small;477;524;500;550;rural;rural;rural;12;2;34;570
male;regular+aide;regular+aide;NA;459;518;488;568;inner-city;inner-city;NA;36;31;NA;NA
male;NA;regular+aide;regular+aide;NA;542;NA;507;NA;suburban;suburban;NA;18;19;573
female;regular;NA;NA;564;NA;584;NA;rural;NA;NA;15;NA;NA;NA
female;regular;NA;NA;485;NA;515;NA;rural;NA;NA;10;NA;NA;NA
female;NA;regular+aide;regular;NA;535;NA;546;NA;inner-city;inner-city;NA;25;3;576
female;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;5;602
male;regular;regular;NA;604;643;578;587;urban;urban;NA;11;15;NA;NA
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;5;647
male;regular+aide;regular+aide;regular+aide;571;593;557;611;urban;urban;urban;14;18;36;632
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;492;564;486;572;inner-city;inner-city;inner-city;3;30;22;606
male;small;small;small;428;470;444;510;suburban;suburban;rural;12;11;21;NA
male;regular;regular;regular;507;549;520;504;rural;rural;rural;7;1;7;607
male;small;small;small;462;552;495;554;rural;rural;rural;15;14;14;598
male;NA;small;small;NA;611;NA;607;NA;suburban;suburban;NA;11;18;601
female;regular+aide;NA;NA;474;NA;479;NA;urban;NA;NA;7;NA;NA;NA
male;NA;regular;regular;NA;517;NA;559;NA;inner-city;inner-city;NA;4;16;569
female;regular+aide;regular+aide;NA;604;637;627;632;rural;rural;NA;1;8;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;6;644
female;NA;regular;regular;NA;622;NA;615;NA;urban;urban;NA;28;1;631
female;NA;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;6;569
female;small;small;small;501;577;497;587;inner-city;inner-city;inner-city;6;28;11;605
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular+aide;regular+aide;NA;622;NA;593;NA;inner-city;inner-city;NA;16;11;624
male;regular+aide;regular+aide;regular+aide;544;575;523;557;suburban;rural;rural;11;8;16;625
male;NA;regular+aide;regular+aide;NA;557;NA;535;NA;suburban;suburban;NA;9;8;592
male;NA;regular;regular;NA;559;NA;572;NA;rural;rural;NA;0;23;611
female;NA;regular+aide;regular+aide;NA;586;NA;626;NA;rural;rural;NA;13;30;609
female;regular+aide;regular+aide;regular+aide;487;564;518;574;rural;rural;rural;9;2;19;617
female;small;small;NA;651;669;549;603;rural;rural;NA;6;20;NA;NA
female;small;NA;NA;509;NA;526;NA;inner-city;NA;NA;38;NA;NA;NA
male;regular;NA;NA;514;NA;538;NA;rural;NA;NA;12;NA;NA;NA
female;regular;regular+aide;regular+aide;533;650;542;639;rural;rural;rural;19;6;17;638
female;regular;NA;NA;564;NA;532;NA;rural;NA;NA;1;NA;NA;NA
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;17;630
female;NA;regular+aide;regular+aide;NA;NA;NA;NA;NA;suburban;suburban;NA;10;22;608
female;regular+aide;NA;NA;497;NA;512;NA;inner-city;NA;NA;17;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;544;512;592;556;inner-city;inner-city;inner-city;1;1;11;587
female;regular+aide;regular+aide;regular+aide;604;588;557;577;rural;rural;rural;5;3;12;632
female;regular;NA;NA;456;NA;497;NA;inner-city;NA;NA;37;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;501;577;507;565;rural;rural;rural;3;11;4;612
male;NA;regular+aide;NA;NA;557;NA;626;NA;inner-city;NA;NA;1;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;558;614;557;599;rural;rural;rural;6;12;14;635
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;495;573;468;572;suburban;suburban;suburban;2;15;18;600
male;small;small;NA;548;NA;518;NA;rural;rural;NA;12;23;NA;NA
male;small;small;small;466;535;532;570;inner-city;inner-city;inner-city;2;13;31;628
male;regular+aide;NA;NA;530;NA;549;NA;urban;NA;NA;22;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;483;602;477;550;urban;urban;urban;15;20;20;606
male;regular;regular;regular;548;631;601;639;suburban;suburban;suburban;18;15;20;679
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;4;571
female;NA;small;small;NA;588;NA;590;NA;inner-city;inner-city;NA;2;8;622
female;regular+aide;regular;NA;474;577;542;582;suburban;suburban;NA;2;3;NA;NA
male;regular;NA;NA;451;NA;479;NA;urban;NA;NA;5;NA;NA;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;urban;NA;NA;9;606
male;NA;regular;regular;NA;554;NA;541;NA;inner-city;inner-city;NA;9;26;607
male;regular;NA;NA;571;NA;601;NA;urban;NA;NA;20;NA;NA;NA
male;small;NA;regular;NA;NA;493;NA;rural;NA;rural;12;NA;14;580
male;regular;regular;regular;465;554;495;568;inner-city;inner-city;inner-city;2;1;3;596
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;6;646
female;regular;regular;regular;536;584;529;572;rural;rural;rural;1;12;3;612
male;small;small;small;490;562;549;572;inner-city;inner-city;inner-city;38;10;29;591
male;small;small;small;629;627;592;632;suburban;suburban;suburban;20;15;5;658
male;small;small;small;530;604;545;584;rural;rural;rural;14;6;2;608
male;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;12;NA;NA;NA
male;regular+aide;NA;NA;475;NA;481;NA;rural;NA;NA;5;NA;NA;NA
male;small;small;small;495;536;538;615;suburban;suburban;suburban;8;1;8;624
female;regular+aide;regular+aide;regular+aide;590;575;526;620;rural;rural;rural;9;8;15;602
male;NA;regular;regular;NA;NA;NA;NA;NA;suburban;suburban;NA;3;22;636
male;regular+aide;NA;NA;471;NA;518;NA;inner-city;NA;NA;17;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;NA;586;NA;632;rural;rural;rural;9;11;13;619
male;regular+aide;NA;NA;450;NA;495;NA;urban;NA;NA;8;NA;NA;NA
male;regular;regular+aide;NA;579;NA;612;NA;rural;rural;NA;1;3;NA;NA
male;regular;regular;regular;501;582;592;574;rural;rural;rural;9;19;11;621
female;small;small;NA;463;508;538;528;suburban;suburban;NA;32;7;NA;NA
male;regular;NA;NA;497;NA;542;NA;suburban;NA;NA;1;NA;NA;NA
male;small;NA;NA;590;NA;578;NA;urban;NA;NA;15;NA;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;7;576
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;8;596
male;regular+aide;NA;NA;492;NA;523;NA;urban;NA;NA;11;NA;NA;NA
male;regular;regular+aide;regular+aide;536;524;512;NA;rural;rural;rural;20;8;16;560
male;small;small;NA;454;NA;479;NA;urban;urban;NA;12;6;NA;NA
female;regular+aide;NA;NA;553;NA;578;NA;urban;NA;NA;22;NA;NA;NA
female;regular;NA;NA;548;NA;557;NA;suburban;NA;NA;18;NA;NA;NA
female;NA;small;NA;NA;577;NA;557;NA;urban;NA;NA;9;NA;NA
male;small;NA;NA;448;NA;468;NA;rural;NA;NA;1;NA;NA;NA
female;regular;NA;NA;412;NA;474;NA;inner-city;NA;NA;14;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular+aide;NA;466;569;490;570;inner-city;inner-city;NA;4;14;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;small;NA;NA;622;NA;699;NA;rural;NA;NA;14;NA;NA
female;small;small;small;548;627;538;577;inner-city;inner-city;inner-city;9;33;18;639
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;regular;NA;588;NA;554;NA;suburban;suburban;NA;3;14;566
male;NA;small;small;NA;573;NA;596;NA;suburban;suburban;NA;27;23;627
male;regular+aide;regular;NA;451;NA;529;NA;inner-city;inner-city;NA;1;7;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;26;555
female;NA;regular;regular;NA;591;NA;556;NA;rural;rural;NA;2;1;619
female;regular+aide;regular+aide;regular;NA;535;NA;557;rural;rural;rural;9;31;NA;583
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;NA;519;588;545;632;rural;rural;NA;1;8;NA;NA
NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;6;NA;NA;NA
male;regular+aide;NA;NA;423;NA;446;NA;suburban;NA;NA;2;NA;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;22;589
male;regular+aide;NA;NA;503;NA;545;NA;inner-city;NA;NA;36;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;524;591;612;533;inner-city;inner-city;inner-city;9;2;8;622
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;small;482;593;500;565;rural;rural;rural;15;11;18;603
male;regular;NA;NA;447;NA;439;NA;rural;NA;NA;17;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;482;562;542;593;rural;rural;rural;18;15;15;595
male;regular;regular;regular;434;492;484;510;suburban;suburban;suburban;1;17;5;NA
male;regular+aide;regular+aide;regular+aide;651;650;562;607;rural;rural;rural;9;8;15;686
female;regular;regular;NA;451;554;474;561;inner-city;inner-city;NA;32;0;NA;NA
female;regular+aide;NA;NA;451;NA;479;NA;urban;NA;NA;7;NA;NA;NA
female;regular;regular;regular;548;611;562;607;rural;rural;rural;17;17;12;641
female;small;small;small;512;586;545;570;rural;rural;rural;5;0;15;665
female;small;small;small;571;611;567;632;rural;rural;rural;4;35;2;651
male;regular+aide;regular+aide;regular+aide;571;618;653;620;rural;rural;rural;16;4;14;647
male;small;small;NA;474;568;549;593;inner-city;inner-city;NA;32;4;NA;NA
male;regular+aide;regular+aide;regular+aide;544;618;562;648;rural;rural;rural;20;19;2;631
male;regular+aide;regular+aide;regular+aide;NA;526;490;546;rural;rural;rural;16;8;12;NA
male;small;small;small;533;596;584;603;rural;rural;rural;11;14;10;648
male;small;small;small;448;492;477;568;inner-city;inner-city;inner-city;17;2;3;618
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;small;571;627;584;626;suburban;suburban;suburban;16;10;6;663
female;regular;regular;regular;NA;NA;526;NA;rural;rural;rural;0;18;14;634
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;15;622
female;NA;regular+aide;regular+aide;NA;599;NA;NA;NA;suburban;suburban;NA;4;4;643
female;small;small;NA;468;496;510;545;rural;rural;NA;7;15;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;507;604;518;582;suburban;suburban;suburban;23;10;4;622
female;regular;NA;NA;NA;NA;461;NA;rural;NA;NA;9;NA;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;12;NA
male;regular+aide;regular+aide;regular+aide;558;622;535;648;suburban;suburban;suburban;3;15;21;624
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;4;605
male;regular;regular;regular;457;481;518;525;rural;rural;rural;4;18;6;549
female;regular;regular;NA;490;564;520;545;inner-city;inner-city;NA;0;7;NA;NA
female;regular;NA;NA;434;NA;461;NA;inner-city;NA;NA;25;NA;NA;NA
male;regular;NA;NA;428;NA;470;NA;inner-city;NA;NA;3;NA;NA;NA
male;NA;regular;NA;NA;542;NA;579;NA;inner-city;NA;NA;2;NA;NA
male;NA;regular;regular;NA;593;NA;626;NA;rural;rural;NA;13;4;617
female;regular;regular;small;463;526;497;541;rural;rural;rural;10;26;15;586
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;NA;NA;462;NA;463;NA;suburban;NA;NA;16;NA;NA;NA
female;regular;NA;NA;564;NA;612;NA;suburban;NA;NA;3;NA;NA;NA
male;regular+aide;NA;NA;571;NA;553;NA;rural;NA;NA;8;NA;NA;NA
male;NA;regular+aide;regular+aide;NA;542;NA;546;NA;suburban;suburban;NA;5;20;568
male;NA;regular;regular;NA;NA;NA;NA;NA;suburban;suburban;NA;8;22;624
female;NA;regular+aide;regular+aide;NA;562;NA;522;NA;inner-city;inner-city;NA;25;25;NA
male;regular;small;small;544;611;567;639;rural;rural;rural;12;16;6;646
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;14;667
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;1;535
female;regular+aide;NA;NA;483;NA;510;NA;rural;NA;NA;20;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;629;637;653;615;urban;urban;urban;12;13;7;665
male;regular+aide;NA;NA;471;NA;454;NA;rural;NA;NA;18;NA;NA;NA
male;NA;regular;regular;NA;614;NA;577;NA;rural;rural;NA;9;13;NA
male;small;NA;NA;480;NA;523;NA;suburban;NA;NA;9;NA;NA;NA
female;regular+aide;regular;NA;590;NA;653;NA;suburban;suburban;NA;13;9;NA;NA
male;regular;regular;regular;521;557;495;525;suburban;suburban;suburban;3;4;19;607
male;regular;regular;regular;540;577;510;632;rural;rural;rural;4;19;22;604
female;regular;regular+aide;NA;487;NA;505;NA;inner-city;inner-city;NA;3;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;453;591;553;607;rural;rural;rural;4;29;11;646
male;regular;regular;regular;558;650;653;659;rural;rural;rural;11;25;4;656
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;small;494;596;518;593;rural;rural;rural;2;12;1;616
male;regular+aide;NA;NA;451;NA;484;NA;inner-city;NA;NA;4;NA;NA;NA
female;NA;regular;regular;NA;586;NA;603;NA;suburban;suburban;NA;10;4;595
male;regular;NA;NA;NA;NA;497;NA;rural;NA;NA;4;NA;NA;NA
male;small;small;small;454;582;505;587;rural;rural;rural;4;35;2;590
male;regular+aide;regular+aide;regular+aide;540;588;592;620;urban;urban;urban;8;17;38;643
male;regular;NA;NA;456;NA;495;NA;rural;NA;NA;5;NA;NA;NA
female;regular;regular+aide;small;469;536;535;568;suburban;suburban;suburban;5;12;8;596
male;NA;regular+aide;regular+aide;NA;588;NA;639;NA;rural;rural;NA;19;2;607
male;NA;regular+aide;regular+aide;NA;524;NA;550;NA;urban;urban;NA;19;16;552
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;NA;NA;590;NA;562;NA;rural;NA;NA;42;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;regular;483;NA;545;NA;suburban;suburban;suburban;3;4;19;607
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;527;593;526;596;rural;rural;rural;39;9;16;635
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;regular;590;560;557;593;rural;rural;rural;8;19;0;620
male;small;NA;NA;629;NA;592;NA;rural;NA;NA;39;NA;NA;NA
male;regular;regular;regular;553;604;562;603;rural;rural;rural;7;18;21;669
male;small;small;small;482;579;562;611;suburban;suburban;suburban;1;11;8;583
female;NA;regular+aide;NA;NA;650;NA;639;NA;suburban;NA;NA;9;NA;NA
female;regular+aide;regular+aide;regular+aide;527;573;529;568;rural;rural;rural;2;19;0;610
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;20;652
male;regular;NA;NA;468;NA;515;NA;suburban;NA;NA;7;NA;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;19;622
female;regular;regular;regular+aide;462;549;458;550;inner-city;inner-city;inner-city;15;10;30;583
female;NA;regular+aide;regular+aide;NA;521;NA;556;NA;inner-city;inner-city;NA;0;17;608
female;regular;NA;NA;544;NA;526;NA;suburban;NA;NA;10;NA;NA;NA
male;regular;NA;NA;433;NA;479;NA;inner-city;NA;NA;8;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;558;637;549;611;rural;rural;rural;7;13;7;594
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular+aide;regular+aide;NA;559;NA;510;NA;rural;rural;NA;11;4;571
female;small;small;NA;495;550;512;536;inner-city;inner-city;NA;26;4;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;23;630
female;small;small;small;516;530;472;540;rural;rural;rural;21;39;6;568
male;regular;NA;NA;460;NA;500;NA;suburban;NA;NA;1;NA;NA;NA
male;regular+aide;NA;NA;579;NA;612;NA;rural;NA;NA;7;NA;NA;NA
male;regular;small;small;590;684;572;648;urban;urban;urban;3;22;0;693
male;regular+aide;NA;regular;465;NA;507;NA;suburban;NA;suburban;2;NA;7;542
female;NA;regular;regular;NA;669;NA;639;NA;suburban;suburban;NA;8;15;646
male;regular+aide;regular+aide;regular+aide;NA;549;507;509;rural;rural;rural;11;2;15;558
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;NA;604;622;502;615;suburban;suburban;NA;23;33;NA;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;27;581
male;regular+aide;regular+aide;regular+aide;544;532;529;572;rural;rural;rural;16;31;5;630
female;small;small;small;548;637;549;648;rural;rural;rural;39;8;0;617
female;NA;small;small;NA;604;NA;587;NA;suburban;suburban;NA;9;6;615
female;regular;regular;regular;514;586;542;570;rural;rural;rural;13;6;8;621
male;small;NA;NA;540;NA;502;NA;suburban;NA;NA;16;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;regular+aide;NA;530;NA;522;NA;inner-city;inner-city;NA;7;12;569
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;505;604;529;561;rural;rural;rural;2;15;14;607
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular+aide;NA;NA;564;NA;518;NA;suburban;NA;NA;9;NA;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;9;590
female;regular+aide;regular+aide;NA;447;NA;465;NA;inner-city;inner-city;NA;27;2;NA;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;1;590
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular;regular;NA;NA;NA;NA;NA;rural;rural;NA;19;3;NA
male;regular;regular;regular;521;618;545;632;rural;rural;rural;0;20;28;669
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;514;573;493;568;rural;rural;rural;31;1;12;606
male;small;small;small;629;622;601;659;suburban;suburban;suburban;9;15;6;670
male;regular;regular;small;509;566;553;557;rural;rural;rural;12;13;15;592
female;small;small;NA;459;512;481;531;rural;rural;NA;27;10;NA;NA
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;0;609
male;regular;regular;regular+aide;483;532;474;584;inner-city;inner-city;inner-city;5;4;4;558
male;small;small;small;540;659;553;599;suburban;suburban;suburban;21;4;18;637
male;NA;regular+aide;NA;NA;530;NA;515;NA;suburban;NA;NA;10;NA;NA
female;regular+aide;regular+aide;regular+aide;553;575;584;584;suburban;suburban;suburban;4;9;15;602
female;NA;small;small;NA;637;NA;568;NA;rural;rural;NA;28;36;627
male;small;small;small;590;659;592;648;rural;rural;rural;7;10;18;616
female;NA;regular;regular;NA;596;NA;615;NA;suburban;suburban;NA;9;15;633
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;small;regular;NA;529;NA;518;NA;inner-city;inner-city;NA;4;5;584
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;16;586
female;regular+aide;regular+aide;regular+aide;533;555;479;523;suburban;suburban;suburban;11;12;29;592
male;regular+aide;regular+aide;regular+aide;590;669;584;659;inner-city;inner-city;inner-city;1;1;11;650
male;regular+aide;regular+aide;regular+aide;521;575;545;639;suburban;suburban;suburban;3;15;21;624
female;NA;regular+aide;regular+aide;NA;486;NA;500;NA;suburban;suburban;NA;7;17;530
female;small;small;small;579;650;578;599;rural;rural;rural;12;14;10;633
male;small;small;small;533;NA;553;543;suburban;suburban;suburban;3;4;13;607
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;495;552;497;563;rural;rural;rural;16;11;19;588
male;regular+aide;regular+aide;NA;509;571;553;599;rural;rural;NA;9;23;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular+aide;small;462;539;497;541;inner-city;inner-city;inner-city;25;16;15;568
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;457;529;490;522;rural;rural;rural;8;13;4;NA
female;regular;regular;NA;495;552;515;577;suburban;suburban;NA;18;4;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;579;614;627;599;rural;rural;rural;7;3;1;635
female;regular;NA;NA;462;NA;495;NA;inner-city;NA;NA;5;NA;NA;NA
female;regular;NA;NA;482;NA;465;NA;inner-city;NA;NA;4;NA;NA;NA
